Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
87,Arizona Coyotes,Anton Karlsson\karlsan02,SE,RW,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
88,Chicago Blackhawks,Beau Starrett\starrbe01,US,C/LW,18,,SOUTH SHORE (USPHL),,,,,,,,,,,,
89,Washington Capitals,Nathan Walker\walkena01,GB,LW,20,2019,Hershey (AHL),12,1,1,2,1,8,,,,,,
90,Los Angeles Kings,Michael Amadio\amadimi01,CA,C,18,2019,NORTH BAY (OHL),46,5,4,9,-7,10,,,,,,
91,Edmonton Oilers,William Lagesson\lageswi01,SE,D,18,,FROLUNDA JR. (Sweden-Jr.),,,,,,,,,,,,
92,Florida Panthers,Joe Wegwerth\wegwejo01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,
93,Colorado Avalanche,Nicholas Magyar\magyani01,US,RW,18,,KITCHENER (OHL),,,,,,,,,,,,
94,St. Louis Blues,Ville Husso\hussovi01,FI,G,19,,HIFK (Finland),,,,,,,,,,,,
95,New York Islanders,Linus Soderstrom\soderli01,SE,G,18,,DJURGARDEN JR. (Sweden-Jr.),,,,,,,,,,,,
96,Carolina Hurricanes,Josh Wesley\weslejo01,US,D,18,,PLYMOUTH (OHL),,,,,,,,,,,,
97,Carolina Hurricanes,Lucas Wallmark\wallmlu01,SE,C,19,2019,LULEA (Sweden),28,2,2,4,-4,10,,,,,,
98,Chicago Blackhawks,Frederik Olofsson\olofsfr01,SE,LW,18,,CHICAGO (USHL),,,,,,,,,,,,
99,Winnipeg Jets,Chase De Leo\deleoch01,US,C,18,2016,PORTLAND (WHL),2,0,0,0,1,0,,,,,,
100,Ottawa Senators,Shane Eiserman\eisersh01,US,C/LW,18,,DUBUQUE (USHL),,,,,,,,,,,,
101,Winnipeg Jets,Nelson Nogier\nogiene01,CA,D,18,2017,SASKATOON (WHL),10,0,0,0,-1,5,,,,,,
102,San Jose Sharks,Alexis Vanier\vanieal01,CA,D,18,,BAIE-COMEAU (QMJHL),,,,,,,,,,,,
103,Toronto Maple Leafs,John Piccinich\piccijo01,US,RW,18,,YOUNGSTOWN (USHL),,,,,,,,,,,,
104,New York Rangers,Ryan Mantha\manthry01,US,D,18,,INDIANA (USHL),,,,,,,,,,,,
105,Dallas Stars,Michael Prapavessis\prapami01,CA,D,18,,TORONTO LAKESHORE (OJHL),,,,,,,,,,,,
106,Detroit Red Wings,Christoffer Ehn\ehnch01,SE,C,18,2019,FROLUNDA JR. (Sweden-Jr.),9,0,1,1,2,4,,,,,,
107,Columbus Blue Jackets,Julien Pelletier\pelleju01,CA,LW,18,,CAPE BRETON (QMJHL),,,,,,,,,,,,
108,New York Islanders,Devon Toews\toewsde01,CA,D,20,,Quinnipiac (ECAC),,,,,,,,,,,,
109,Minnesota Wild,Kaapo Kahkonen\kahkoka01,FI,G,18,,BLUES JR. (Finland-Jr.),,,,,,,,,,,,
110,St. Louis Blues,Austin Poganski\poganau01,US,RW,18,,TRI-CITY (USHL),,,,,,,,,,,,
111,Edmonton Oilers,Zachary Nagelvoort\nagelza01,US,G,20,,Michigan (Big Ten),,,,,,,,,,,,
112,Nashville Predators,Viktor Arvidsson\arvidvi01,SE,LW,21,2019,SKELLEFTEA (Sweden),230,75,73,148,36,107,,,,,,
113,Pittsburgh Penguins,Sam Lafferty\laffesa01,US,C/LW,19,,Deerfield (High-MA),,,,,,,,,,,,
114,Colorado Avalanche,Alexis Pepin\pepinal01,CA,LW,18,,GATINEAU (QMJHL),,,,,,,,,,,,
115,Dallas Stars,Brent Moran\moranbr02,CA,G,18,,NIAGARA (OHL),,,,,,,,,,,,
116,Boston Bruins,Danton Heinen\heineda01,CA,C/LW,19,2019,SURREY (BCHL),93,16,34,50,10,24,,,,,,
117,Arizona Coyotes,Michael Bunting\buntimi01,CA,LW,18,,SAULT STE. MARIE (OHL),,,,,,,,,,,,
118,New York Rangers,Igor Shesterkin\shestig01,RU,G,18,,SPARTAK 2 (Russia-Jr.),,,,,,,,,,,,
119,Tampa Bay Lightning,Ben Thomas\thomabe01,CA,D,18,,CALGARY (WHL),,,,,,,,,,,,
120,Los Angeles Kings,Steven Johnson\johnsst01,US,D,20,,OMAHA (USHL),,,,,,,,,,,,
121,Buffalo Sabres,Maxwell Willman\willmma01,US,C,19,,Williston-Northampton (High-MA),,,,,,,,,,,,
122,New York Rangers,Richard Nejezchleb\nejezri01,CZ,LW,20,,BRANDON (WHL),,,,,,,,,,,,
123,Anaheim Ducks,Matthew Berkovitz\berkoma01,US,D,18,,Ashwaubenon (High-WI),,,,,,,,,,,,
124,St. Louis Blues,Jaedon Descheneau\deschja01,CA,RW,19,,KOOTENAY (WHL),,,,,,,,,,,,
125,Montreal Canadiens,Nikolas Koberstein\koberni01,CA,D,18,,OLDS (AJHL),,,,,,,,,,,,
126,Vancouver Canucks,Gustav Forsling\forslgu02,SE,D,18,2018,LINKOPING JR. (Sweden-Jr.),79,5,13,18,1,12,,,,,,
127,Carolina Hurricanes,Clark Bishop\bishocl01,CA,C,18,2019,CAPE BRETON (QMJHL),2,0,0,0,0,0,,,,,,
128,Toronto Maple Leafs,Dakota Joshua\joshuda01,US,C,18,,SIOUX FALLS (USHL),,,,,,,,,,,,
129,Winnipeg Jets,Clinston Franklin\frankcl01,US,LW,20,,SIOUX FALLS (USHL),,,,,,,,,,,,
130,Edmonton Oilers,Liam Coughlin\coughli01,US,C/LW,19,,VERNON (BCHL),,,,,,,,,,,,
131,New Jersey Devils,Ryan Rehill\rehilry01,CA,D,18,,KAMLOOPS (WHL),,,,,,,,,,,,
132,Nashville Predators,Joonas Lyytinen\lyytijo01,FI,D,19,,KALPA (Finland),,,,,,,,,,,,
133,Arizona Coyotes,Dysin Mayo\mayody01,CA,D,18,,EDMONTON (WHL),,,,,,,,,,,,
134,Washington Capitals,Shane Gersich\gersish01,US,C/LW,18,2018,USA U-18 (USHL),3,0,1,1,-1,0,,,,,,
135,Dallas Stars,Miro Karjalainen\karjami01,FI,D,18,,Jokerit U18 (Finland-Jr.),,,,,,,,,,,,
136,Detroit Red Wings,Chase Perry\perrych01,US,G,18,,WENATCHEE (NAHL),,,,,,,,,,,,
137,Columbus Blue Jackets,Tyler Bird\birdty01,US,RW,18,,KIMBALL UNION (High-NH),,,,,,,,,,,,
138,Philadelphia Flyers,Oskar Lindblom\lindbos01,SE,LW,18,2019,BRYNAS JR. (Sweden-Jr.),33,4,4,8,1,12,,,,,,
139,Minnesota Wild,Tanner Faith\faithta01,CA,D,18,,KOOTENAY (WHL),,,,,,,,,,,,
140,New York Rangers,Daniel Walcott\walcoda01,CA,D,20,,BLAINVILLE-BOISBRIAND (QMJHL),,,,,,,,,,,,
141,Chicago Blackhawks,Luc Snuggerud\snugglu01,US,D,18,,EDEN PRAIRIE (High-MN),,,,,,,,,,,,
142,New York Rangers,Tyler Nanne\nannety01,US,D,18,,EDINA HIGH (High-MN),,,,,,,,,,,,
143,Florida Panthers,Miguel Fidler\fidlemi02,US,LW,18,,EDINA HIGH (High-MN),,,,,,,,,,,,
144,Colorado Avalanche,Anton Lindholm\lindhan01,SE,D,19,2018,SKELLEFTEA JR. (Sweden-Jr.),60,0,4,4,-4,16,,,,,,
145,Pittsburgh Penguins,Anthony Angello\angelan01,US,C,18,,OMAHA (USHL),,,,,,,,,,,,
146,Boston Bruins,Anders Bjork\bjorkan01,US,LW,18,2019,USA U-18 (USHL),38,5,9,14,5,6,,,,,,
147,Montreal Canadiens,Daniel Audette\audetda01,US,C,18,,SHERBROOKE (QMJHL),,,,,,,,,,,,
148,Chicago Blackhawks,Andreas Soderberg\soderan01,SE,D,18,,SKELLEFTEA JR. (Sweden-Jr.),,,,,,,,,,,,
149,San Jose Sharks,Rourke Chartier\chartro01,CA,C,18,2019,KELOWNA (WHL),7,0,0,0,-1,0,,,,,,
150,Los Angeles Kings,Alec Dillon\dilloal01,CA,G,18,,VICTORIA (WHL),,,,,,,,,,,,
151,Buffalo Sabres,Christopher Brown\brownch02,US,C,18,,Cranbrook Kingswood (HIGH-MI),,,,,,,,,,,,
152,New Jersey Devils,Joey Dudek\dudekjo01,US,C,18,,KIMBALL UNION (High-NH),,,,,,,,,,,,
153,Edmonton Oilers,Tyler Vesel\veselty01,US,C,20,,OMAHA (USHL),,,,,,,,,,,,
154,Dallas Stars,Aaron Haydon\haydoaa01,US,D,18,,NIAGARA (OHL),,,,,,,,,,,,
155,New York Islanders,Kyle Schempp\schemky01,US,C,20,,Ferris State (WCHA),,,,,,,,,,,,
156,Vancouver Canucks,Kyle Pettit\pettiky01,CA,C,18,,ERIE (OHL),,,,,,,,,,,,
157,Los Angeles Kings,Jake Marchment\marchja01,CA,C,19,,BELLEVILLE (OHL),,,,,,,,,,,,
158,Toronto Maple Leafs,Nolan Vesey\veseyno01,US,LW,19,,SOUTH SHORE (USPHL),,,,,,,,,,,,
159,Washington Capitals,Steven Spinner\spinnst01,US,RW,18,,EDEN PRAIRIE (High-MN),,,,,,,,,,,,
160,Minnesota Wild,Pontus Sjalin\sjalipo01,SE,D,18,,Östersunds (Sweden),,,,,,,,,,,,
161,New Jersey Devils,Brandon Baddock\baddobr01,CA,LW,19,,EDMONTON (WHL),,,,,,,,,,,,
162,Nashville Predators,Aaron Irving\irvinaa01,CA,D,18,,EDMONTON (WHL),,,,,,,,,,,,
163,Arizona Coyotes,David Westlund\westlda01,SE,D,19,,BRYNAS JR. (Sweden-Jr.),,,,,,,,,,,,
