,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
72,73,New Jersey Devils,Alexander Urbom\urbomal01,SE,D,18.0,2014.0,Djurgarden (Sweden),34.0,3.0,1.0,4.0,-1.0,28.0,,,,,,,2009,30,2.4,3,False,0.08823529411764706,0.029411764705882353,0.11764705882352941,Alexander Urbom,urbomal01,Sweden
73,74,Calgary Flames,Ryan Howse\howsery01,CA,LW,18.0,,Chilliwack (WHL),,,,,,,,,,,,,2009,30,2.433333333333333,3,False,,,,Ryan Howse,howsery01,WHL
74,75,Detroit Red Wings,Andrej Nestrasil\nestran01,CZ,RW,18.0,2017.0,Victoriaville (QMJHL),128.0,17.0,31.0,48.0,0.0,18.0,,,,,,,2009,30,2.466666666666667,3,False,0.1328125,0.2421875,0.375,Andrej Nestrasil,nestran01,QMJHL
75,76,Anaheim Ducks,Igor Bobkov\bobkoig01,RU,G,18.0,,Magnitogorsk 2 (Russia-3),,,,,,,,,,,,,2009,30,2.5,3,False,,,,Igor Bobkov,bobkoig01,Russia-3
76,77,Minnesota Wild,Matt Hackett\hackema01,CA,G,19.0,2015.0,Plymouth (OHL),26.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,17.0,2.0,0.9059999999999999,3.11,2009,30,2.533333333333333,3,False,0.0,0.0,0.0,Matt Hackett,hackema01,OHL
77,78,St. Louis Blues,Sergei Andronov\androse01,RU,RW,20.0,,Lada Togliatti (KHL),,,,,,,,,,,,,2009,30,2.566666666666667,3,False,,,,Sergei Andronov,androse01,KHL
78,79,Montreal Canadiens,Mac Bennett\bennema02,US,D,18.0,,Hotchkiss (High-CT),,,,,,,,,,,,,2009,30,2.6,3,False,,,,Mac Bennett,bennema02,High-CT
79,80,New York Rangers,Ryan Bourque\bourqry01,US,C,18.0,2015.0,U.S. National U-18 (USNTDP),1.0,0.0,0.0,0.0,-1.0,0.0,,,,,,,2009,30,2.6333333333333333,3,False,0.0,0.0,0.0,Ryan Bourque,bourqry01,USNTDP
80,81,Philadelphia Flyers,Adam Morrison\morriad01,CA,G,18.0,,Saskatoon (WHL),,,,,,,,,,,,,2009,30,2.6666666666666665,3,False,,,,Adam Morrison,morriad01,WHL
81,82,Edmonton Oilers,Cameron Abney\abneyca01,CA,RW,18.0,,Everett (WHL),,,,,,,,,,,,,2009,30,2.7,3,False,,,,Cameron Abney,abneyca01,WHL
82,83,Vancouver Canucks,Kevin Connauton\connake01,CA,D,19.0,2019.0,Western Michigan (CCHA),269.0,26.0,44.0,70.0,12.0,163.0,,,,,,,2009,30,2.7333333333333334,3,False,0.09665427509293681,0.16356877323420074,0.26022304832713755,Kevin Connauton,connake01,CCHA
83,84,Los Angeles Kings,Nicolas Deslauriers\deslani01,CA,D,18.0,2019.0,Rouyn-Noranda (QMJHL),272.0,22.0,22.0,44.0,-47.0,241.0,,,,,,,2009,30,2.7666666666666666,3,False,0.08088235294117647,0.08088235294117647,0.16176470588235295,Nicolas Deslauriers,deslani01,QMJHL
84,85,Washington Capitals,Cody Eakin\eakinco01,CA,C,18.0,2019.0,Swift Current (WHL),465.0,79.0,106.0,185.0,-15.0,210.0,,,,,,,2009,30,2.8,3,False,0.16989247311827957,0.22795698924731184,0.3978494623655914,Cody Eakin,eakinco01,WHL
85,86,Boston Bruins,Ryan Button\buttory01,CA,D,18.0,,Prince Albert (WHL),,,,,,,,,,,,,2009,30,2.8333333333333335,3,False,,,,Ryan Button,buttory01,WHL
86,87,Philadelphia Flyers,Simon Bertilsson\bertisi01,SE,D,18.0,,Brynas Gavle (Sweden),,,,,,,,,,,,,2009,30,2.8666666666666667,3,False,,,,Simon Bertilsson,bertisi01,Sweden
87,88,Carolina Hurricanes,Mattias Lindstrom\lindsma01,SE,LW,18.0,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,2009,30,2.9,3,False,,,,Mattias Lindstrom,lindsma01,Sweden-Jr.
88,89,Chicago Blackhawks,Dan Delisle\delisda01,US,C,18.0,,Totino Grace (High-MN),,,,,,,,,,,,,2009,30,2.933333333333333,3,False,,,,Dan Delisle,delisda01,High-MN
89,90,Detroit Red Wings,Gleason Fournier\fourngl01,CA,D,18.0,,Rimouski (QMJHL),,,,,,,,,,,,,2009,30,2.966666666666667,3,False,,,,Gleason Fournier,fourngl01,QMJHL
90,91,Phoenix Coyotes,Mike Lee\leemi01,US,G,18.0,,Fargo (USHL),,,,,,,,,,,,,2009,30,3.0,4,False,,,,Mike Lee,leemi01,USHL
91,92,New York Islanders,Casey Cizikas\cizikca01,CA,C,18.0,2019.0,Mississauga St. Michael's (OHL),420.0,47.0,82.0,129.0,-8.0,168.0,,,,,,,2009,30,3.033333333333333,4,False,0.11190476190476191,0.19523809523809524,0.30714285714285716,Casey Cizikas,cizikca01,OHL
92,93,Tampa Bay Lightning,Alex Hutchings\hutchal01,CA,LW,18.0,,Barrie (OHL),,,,,,,,,,,,,2009,30,3.066666666666667,4,False,,,,Alex Hutchings,hutchal01,OHL
93,94,Columbus Blue Jackets,David Savard\savarda01,CA,D,18.0,2019.0,Moncton (QMJHL),416.0,33.0,95.0,128.0,28.0,238.0,,,,,,,2009,30,3.1,4,False,0.07932692307692307,0.2283653846153846,0.3076923076923077,David Savard,savarda01,QMJHL
94,95,Los Angeles Kings,Jean-Francois Berube\berubje02,CA,G,18.0,2018.0,Montreal (QMJHL),34.0,0.0,0.0,0.0,0.0,0.0,34.0,9.0,10.0,4.0,0.898,3.39,2009,30,3.1333333333333333,4,False,0.0,0.0,0.0,Jean-Francois Berube,berubje02,QMJHL
95,96,Los Angeles Kings,Linden Vey\veyli01,CA,RW,18.0,2017.0,Medicine Hat (WHL),138.0,14.0,30.0,44.0,-19.0,24.0,,,,,,,2009,30,3.1666666666666665,4,False,0.10144927536231885,0.21739130434782608,0.3188405797101449,Linden Vey,veyli01,WHL
96,97,Phoenix Coyotes,Jordan Szwarz\szwarjo01,CA,RW,18.0,2018.0,Saginaw (OHL),47.0,4.0,3.0,7.0,-12.0,23.0,,,,,,,2009,30,3.2,4,False,0.0851063829787234,0.06382978723404255,0.14893617021276595,Jordan Szwarz,szwarjo01,OHL
97,98,Nashville Predators,Craig Smith\smithcr01,US,C,20.0,2019.0,Waterloo (USHL),526.0,127.0,139.0,266.0,39.0,214.0,,,,,,,2009,30,3.2333333333333334,4,False,0.2414448669201521,0.26425855513307983,0.5057034220532319,Craig Smith,smithcr01,USHL
98,99,Edmonton Oilers,Kyle Bigos\bigosky01,US,D,20.0,,Vernon (BCHL),,,,,,,,,,,,,2009,30,3.2666666666666666,4,False,,,,Kyle Bigos,bigosky01,BCHL
99,100,Ottawa Senators,Chris Wideman\widemch01,US,D,19.0,2019.0,Miami (Ohio) (CCHA),164.0,16.0,24.0,40.0,12.0,92.0,,,,,,,2009,30,3.3,4,False,0.0975609756097561,0.14634146341463414,0.24390243902439024,Chris Wideman,widemch01,Ohio
100,101,Edmonton Oilers,Toni Rajala\rajalto01,FI,LW,18.0,,Ilves Tampere (Finland),,,,,,,,,,,,,2009,30,3.3333333333333335,4,False,,,,Toni Rajala,rajalto01,Finland
