,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP.1,W,L,T/O,SV%,GAA,year,num_teams,round_ratio,round,1st_round,gpg,apg,ppg,name,alias,league
1757,73,Carolina Hurricanes,Stelio Mattheos\matthst01,CA,RW,18.0,,Brandon (WHL),,,,,,,,,,,,,2017,31,2.3225806451612905,3,False,,,,Stelio Mattheos,matthst01,WHL
1758,74,Winnipeg Jets,Johnathan Kovacevic\kovacjo01,CA,D,20.0,,Merrimack (H-East),,,,,,,,,,,,,2017,31,2.3548387096774195,3,False,,,,Johnathan Kovacevic,kovacjo01,H-East
1759,75,Arizona Coyotes,Nate Schnarr\schnana01,CA,C,18.0,,Guelph (OHL),,,,,,,,,,,,,2017,31,2.3870967741935485,3,False,,,,Nate Schnarr,schnana01,OHL
1760,76,Tampa Bay Lightning,Alexei Lipanov\lipanal01,RU,C,18.0,,Balashikha (RUSSIA-2),,,,,,,,,,,,,2017,31,2.4193548387096775,3,False,,,,Alexei Lipanov,lipanal01,RUSSIA-2
1761,77,New York Islanders,Benjamin Mirageas\miragbe01,US,D,18.0,,Chicago (USHL),,,,,,,,,,,,,2017,31,2.4516129032258065,3,False,,,,Benjamin Mirageas,miragbe01,USHL
1762,78,Edmonton Oilers,Stuart Skinner\skinnst01,CA,G,18.0,,Lethbridge (WHL),,,,,,,,,,,,,2017,31,2.4838709677419355,3,False,,,,Stuart Skinner,skinnst01,WHL
1763,79,Detroit Red Wings,Lane Zablocki\zablola01,CA,RW,18.0,,Red Deer (WHL),,,,,,,,,,,,,2017,31,2.5161290322580645,3,False,,,,Lane Zablocki,zablola01,WHL
1764,80,Philadelphia Flyers,Kirill Ustimenko\ustimki01,BY,G,18.0,,Dynamo St. Petersburg 2 (Russia-Jr.),,,,,,,,,,,,,2017,31,2.5483870967741935,3,False,,,,Kirill Ustimenko,ustimki01,Russia-Jr.
1765,81,New Jersey Devils,Reilly Walsh\walshre01,US,D,18.0,,Proctor Academy (High-NH),,,,,,,,,,,,,2017,31,2.5806451612903225,3,False,,,,Reilly Walsh,walshre01,High-NH
1766,82,Arizona Coyotes,Cameron Crotty\crottca01,CA,D,18.0,,Brockville (CCHL),,,,,,,,,,,,,2017,31,2.6129032258064515,3,False,,,,Cameron Crotty,crottca01,CCHL
1767,83,Detroit Red Wings,Zach Gallant\gallaza01,CA,C,18.0,,Peterborough (OHL),,,,,,,,,,,,,2017,31,2.6451612903225805,3,False,,,,Zach Gallant,gallaza01,OHL
1768,84,Edmonton Oilers,Dmitri Samorukov\samordm01,RU,D,18.0,,Guelph (OHL),,,,,,,,,,,,,2017,31,2.6774193548387095,3,False,,,,Dmitri Samorukov,samordm01,OHL
1769,85,Minnesota Wild,Ivan Lodnia\lodniiv01,US,RW,18.0,,Erie (OHL),,,,,,,,,,,,,2017,31,2.7096774193548385,3,False,,,,Ivan Lodnia,lodniiv01,OHL
1770,86,Columbus Blue Jackets,Daniil Tarasov\tarasda02,RU,G,18.0,,Ufa 2 (Russia-Jr.),,,,,,,,,,,,,2017,31,2.7419354838709675,3,False,,,,Daniil Tarasov,tarasda02,Russia-Jr.
1771,87,Montreal Canadiens,Cale Fleury\fleurca01,CA,D,18.0,,Kootenay (WHL),,,,,,,,,,,,,2017,31,2.774193548387097,3,False,,,,Cale Fleury,fleurca01,WHL
1772,88,Detroit Red Wings,Keith Petruzzelli\petruke01,US,G,18.0,,Muskegon (USHL),,,,,,,,,,,,,2017,31,2.806451612903226,3,False,,,,Keith Petruzzelli,petruke01,USHL
1773,89,Buffalo Sabres,Oskari Laaksonen\laaksos01,FI,D,18.0,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,2.838709677419355,3,False,,,,Oskari Laaksonen,laaksos01,Finland-Jr.
1774,90,Chicago Blackhawks,Evan Barratt\barraev01,US,C,18.0,,USA U-18 (USNTDP),,,,,,,,,,,,,2017,31,2.870967741935484,3,False,,,,Evan Barratt,barraev01,USNTDP
1775,91,Anaheim Ducks,Jack Badini\badinja01,US,C,19.0,,Chicago (USHL),,,,,,,,,,,,,2017,31,2.903225806451613,3,False,,,,Jack Badini,badinja01,USHL
1776,92,Nashville Predators,David Farrance\farrada01,US,D,18.0,,USA U-18 (USNTDP),,,,,,,,,,,,,2017,31,2.935483870967742,3,False,,,,David Farrance,farrada01,USNTDP
1777,93,Pittsburgh Penguins,Clayton Phillips\phillcl01,US,D,18.0,,Fargo (USHL),,,,,,,,,,,,,2017,31,2.967741935483871,3,False,,,,Clayton Phillips,phillcl01,USHL
1778,94,Colorado Avalanche,Nick Henry\henryni01,CA,RW,18.0,,Regina (WHL),,,,,,,,,,,,,2017,31,3.0,4,False,,,,Nick Henry,henryni01,WHL
1779,95,Vancouver Canucks,Jack Rathbone\rathbja01,US,D,18.0,,Dexter School (High-MA),,,,,,,,,,,,,2017,31,3.032258064516129,4,False,,,,Jack Rathbone,rathbja01,High-MA
1780,96,Vegas Golden Knights,Maksim Zhukov\zhukoma01,RU,G,18.0,,Green Bay (USHL),,,,,,,,,,,,,2017,31,3.064516129032258,4,False,,,,Maksim Zhukov,zhukoma01,USHL
1781,97,Minnesota Wild,Mason Shaw\shawma01,CA,C,18.0,,Medicine Hat (WHL),,,,,,,,,,,,,2017,31,3.096774193548387,4,False,,,,Mason Shaw,shawma01,WHL
1782,98,New Jersey Devils,Nikita Popugaev\popugni01,RU,LW,18.0,,Prince George (WHL),,,,,,,,,,,,,2017,31,3.129032258064516,4,False,,,,Nikita Popugaev,popugni01,WHL
1783,99,Buffalo Sabres,Jacob Bryson\brysoja01,CA,D,19.0,,Providence (H-East),,,,,,,,,,,,,2017,31,3.161290322580645,4,False,,,,Jacob Bryson,brysoja01,H-East
1784,100,Detroit Red Wings,Malte Setkov\setkoma01,DK,D,18.0,,Malmo Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,3.193548387096774,4,False,,,,Malte Setkov,setkoma01,Sweden-Jr.
1785,101,Dallas Stars,Liam Hawel\hawelli01,CA,C,18.0,,Guelph (OHL),,,,,,,,,,,,,2017,31,3.225806451612903,4,False,,,,Liam Hawel,hawelli01,OHL
1786,102,San Jose Sharks,Scott Reedy\reedysc01,US,C,18.0,,USA U-18 (USNTDP),,,,,,,,,,,,,2017,31,3.2580645161290325,4,False,,,,Scott Reedy,reedysc01,USNTDP
1787,103,Los Angeles Kings,Michael Anderson\andermi02,US,D,18.0,,Waterloo (USHL),,,,,,,,,,,,,2017,31,3.2903225806451615,4,False,,,,Michael Anderson,andermi02,USHL
1788,104,Carolina Hurricanes,Eetu Makiniemi\makinee01,FI,G,18.0,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,3.3225806451612905,4,False,,,,Eetu Makiniemi,makinee01,Finland-Jr.
1789,105,Winnipeg Jets,Santeri Virtanen\virtasa01,FI,C,18.0,,TPS Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,3.3548387096774195,4,False,,,,Santeri Virtanen,virtasa01,Finland-Jr.
1790,106,Philadelphia Flyers,Matthew Strome\stromma01,CA,LW,18.0,,Hamilton (OHL),,,,,,,,,,,,,2017,31,3.3870967741935485,4,False,,,,Matthew Strome,stromma01,OHL
1791,107,Philadelphia Flyers,Maksim Sushko\sushkma01,BY,RW,18.0,,Owen Sound (OHL),,,,,,,,,,,,,2017,31,3.4193548387096775,4,False,,,,Maksim Sushko,sushkma01,OHL
1792,108,Arizona Coyotes,Noel Hoefenmayer\hoefeno01,CA,D,18.0,,Ottawa (OHL),,,,,,,,,,,,,2017,31,3.4516129032258065,4,False,,,,Noel Hoefenmayer,hoefeno01,OHL
1793,109,Calgary Flames,Adam Ruzicka\ruzicad01,SK,C,18.0,,Sarnia (OHL),,,,,,,,,,,,,2017,31,3.4838709677419355,4,False,,,,Adam Ruzicka,ruzicad01,OHL
1794,110,Toronto Maple Leafs,Ian Scott\scottia01,CA,G,18.0,,Prince Albert (WHL),,,,,,,,,,,,,2017,31,3.5161290322580645,4,False,,,,Ian Scott,scottia01,WHL
1795,111,Boston Bruins,Jeremy Swayman\swaymje01,US,G,18.0,,Sioux Falls (USHL),,,,,,,,,,,,,2017,31,3.5483870967741935,4,False,,,,Jeremy Swayman,swaymje01,USHL
1796,112,Chicago Blackhawks,Tim Soderlund\soderti01,SE,C,19.0,,Skelleftea (Sweden),,,,,,,,,,,,,2017,31,3.5806451612903225,4,False,,,,Tim Soderlund,soderti01,Sweden
1797,113,St. Louis Blues,Alexey Toropchenko\toropal01,RU,RW,18.0,,MVD Balashikha 2 (Russia-Jr.),,,,,,,,,,,,,2017,31,3.6129032258064515,4,False,,,,Alexey Toropchenko,toropal01,Russia-Jr.
1798,114,Colorado Avalanche,Petr Kvaca\kvacape01,CZ,G,20.0,,C Budejovice (Czech-2),,,,,,,,,,,,,2017,31,3.6451612903225805,4,False,,,,Petr Kvaca,kvacape01,Czech-2
1799,115,Edmonton Oilers,Ostap Safin\safinos01,CZ,RW,18.0,,Sparta Jr. (Czech-Jr.),,,,,,,,,,,,,2017,31,3.6774193548387095,4,False,,,,Ostap Safin,safinos01,Czech-Jr.
1800,116,Minnesota Wild,Bryce Misley\mislebr01,CA,C,18.0,,Oakville (OJHL),,,,,,,,,,,,,2017,31,3.7096774193548385,4,False,,,,Bryce Misley,mislebr01,OJHL
1801,117,Columbus Blue Jackets,Emil Bemstrom\bemstem01,SE,C,18.0,,Leksand Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,3.7419354838709675,4,False,,,,Emil Bemstrom,bemstem01,Sweden-Jr.
1802,118,Los Angeles Kings,Markus Phillips\phillma02,CA,D,18.0,,Owen Sound (OHL),,,,,,,,,,,,,2017,31,3.774193548387097,4,False,,,,Markus Phillips,phillma02,OHL
1803,119,Chicago Blackhawks,Roope Laavainen\laavaro01,FI,D,19.0,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,3.806451612903226,4,False,,,,Roope Laavainen,laavaro01,Finland-Jr.
1804,120,Washington Capitals,Tobias Geisser\geissto01,CH,D,18.0,,Zug Academy (SWISS-2),,,,,,,,,,,,,2017,31,3.838709677419355,4,False,,,,Tobias Geisser,geissto01,SWISS-2
1805,121,Ottawa Senators,Drake Batherson\bathedr01,US,C,19.0,,Cape Breton (QMJHL),,,,,,,,,,,,,2017,31,3.870967741935484,4,False,,,,Drake Batherson,bathedr01,QMJHL
1806,122,Anaheim Ducks,Kyle Olson\olsonky01,CA,RW,18.0,,Tri-City (WHL),,,,,,,,,,,,,2017,31,3.903225806451613,4,False,,,,Kyle Olson,olsonky01,WHL
1807,123,New York Rangers,Brandon Crawley\crawlbr01,US,D,20.0,,London (OHL),,,,,,,,,,,,,2017,31,3.935483870967742,4,False,,,,Brandon Crawley,crawlbr01,OHL
1808,124,Toronto Maple Leafs,Vladislav Kara\karavl01,RU,LW,19.0,,Bars Kazan (RUSSIA-2),,,,,,,,,,,,,2017,31,3.967741935483871,4,False,,,,Vladislav Kara,karavl01,RUSSIA-2
1809,125,Colorado Avalanche,Igor Shvyrev\shvyrig01,RU,C,19.0,,Magnitogorsk 2 (Russia-Jr.),,,,,,,,,,,,,2017,31,4.0,5,False,,,,Igor Shvyrev,shvyrig01,Russia-Jr.
1810,126,Arizona Coyotes,Michael Karow\karowmi01,US,D,18.0,,Youngstown (USHL),,,,,,,,,,,,,2017,31,4.032258064516129,5,False,,,,Michael Karow,karowmi01,USHL
1811,127,Vegas Golden Knights,Lucas Elvenes\elvenlu01,SE,C,18.0,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,4.064516129032258,5,False,,,,Lucas Elvenes,elvenlu01,Sweden-Jr.
1812,128,Arizona Coyotes,Tyler Steenbergen\steenty01,CA,C,19.0,,Swift Current (WHL),,,,,,,,,,,,,2017,31,4.096774193548387,5,False,,,,Tyler Steenbergen,steenty01,WHL
1813,129,New Jersey Devils,Gilles Senn\senngi01,CH,G,21.0,,Davos (Swiss),,,,,,,,,,,,,2017,31,4.129032258064516,5,False,,,,Gilles Senn,senngi01,Swiss
1814,130,St. Louis Blues,David Noel\noelda01,CA,D,18.0,,Val D'Or (QMJHL),,,,,,,,,,,,,2017,31,4.161290322580645,5,False,,,,David Noel,noelda01,QMJHL
1815,131,Detroit Red Wings,Cole Fraser\fraseco02,CA,D,18.0,,Peterborough (OHL),,,,,,,,,,,,,2017,31,4.193548387096774,5,False,,,,Cole Fraser,fraseco02,OHL
1816,132,Dallas Stars,Jacob Peterson\peterja01,SE,C,18.0,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,4.225806451612903,5,False,,,,Jacob Peterson,peterja01,Sweden-Jr.
1817,133,Florida Panthers,Tyler Inamoto\inamoty01,US,D,18.0,,USA U-18 (USNTDP),,,,,,,,,,,,,2017,31,4.258064516129032,5,False,,,,Tyler Inamoto,inamoty01,USNTDP
1818,134,Los Angeles Kings,Cole Hults\hultsco01,US,D,19.0,,Madison (USHL),,,,,,,,,,,,,2017,31,4.290322580645161,5,False,,,,Cole Hults,hultsco01,USHL
1819,135,Vancouver Canucks,Kristoffer Gunnarsson\gunnakr01,SE,D,20.0,,Frolunda (Sweden),,,,,,,,,,,,,2017,31,4.32258064516129,5,False,,,,Kristoffer Gunnarsson,gunnakr01,Sweden
1820,136,Winnipeg Jets,Leon Gawanke\gawanle01,DE,D,18.0,,Cape Breton (QMJHL),,,,,,,,,,,,,2017,31,4.354838709677419,5,False,,,,Leon Gawanke,gawanle01,QMJHL
1821,137,Philadelphia Flyers,Noah Cates\catesno01,US,LW,18.0,,Stillwater (High-MN),,,,,,,,,,,,,2017,31,4.387096774193548,5,False,,,,Noah Cates,catesno01,High-MN
1822,138,Los Angeles Kings,Drake Rymsha\rymshdr01,US,C,19.0,,Sarnia (OHL),,,,,,,,,,,,,2017,31,4.419354838709677,5,False,,,,Drake Rymsha,rymshdr01,OHL
1823,139,New York Islanders,Sebastian Aho\ahose02,SE,D,21.0,2018.0,Skelleftea (Sweden),22.0,1.0,3.0,4.0,-5.0,6.0,,,,,,,2017,31,4.451612903225806,5,False,0.045454545454545456,0.13636363636363635,0.18181818181818182,Sebastian Aho,ahose02,Sweden
1824,140,Calgary Flames,Zach Fischer\fischza01,CA,RW,20.0,,Medicine Hat (WHL),,,,,,,,,,,,,2017,31,4.483870967741935,5,False,,,,Zach Fischer,fischza01,WHL
1825,141,Toronto Maple Leafs,Fedor Gordeev\gordefe01,RU,D,18.0,,Flint (OHL),,,,,,,,,,,,,2017,31,4.516129032258065,5,False,,,,Fedor Gordeev,gordefe01,OHL
1826,142,Vegas Golden Knights,Jonathan Dugan\duganjo01,US,LW,19.0,,Northwood School (HIGH-NY),,,,,,,,,,,,,2017,31,4.548387096774194,5,False,,,,Jonathan Dugan,duganjo01,HIGH-NY
1827,143,New Jersey Devils,Marlan Studenic\studema01,SK,RW,18.0,,Hamilton (OHL),,,,,,,,,,,,,2017,31,4.580645161290323,5,False,,,,Marlan Studenic,studema01,OHL
1828,144,Chicago Blackhawks,Parker Foo\foopa01,CA,LW,19.0,,Brooks (AJHL),,,,,,,,,,,,,2017,31,4.612903225806452,5,False,,,,Parker Foo,foopa01,AJHL
1829,145,New York Rangers,Calle Sjalin\sjalica01,SE,D,18.0,,Ostersund (SWEDEN-3),,,,,,,,,,,,,2017,31,4.645161290322581,5,False,,,,Calle Sjalin,sjalica01,SWEDEN-3
1830,146,Edmonton Oilers,Kirill Maksimov\maksiki01,RU,RW,18.0,,Niagara (OHL),,,,,,,,,,,,,2017,31,4.67741935483871,5,False,,,,Kirill Maksimov,maksiki01,OHL
1831,147,Minnesota Wild,Jacob Golden\goldeja01,CA,D,18.0,,London (OHL),,,,,,,,,,,,,2017,31,4.709677419354839,5,False,,,,Jacob Golden,goldeja01,OHL
1832,148,Columbus Blue Jackets,Kale Howarth\howarka01,CA,LW,20.0,,Trail (BCHL),,,,,,,,,,,,,2017,31,4.741935483870968,5,False,,,,Kale Howarth,howarka01,BCHL
1833,149,Montreal Canadiens,Jarret Tyszka\tyszkja01,CA,D,18.0,,Seattle (WHL),,,,,,,,,,,,,2017,31,4.774193548387097,5,False,,,,Jarret Tyszka,tyszkja01,WHL
1834,150,Chicago Blackhawks,Jakub Galvas\galvaja01,CZ,D,18.0,,Olomouc (Czech),,,,,,,,,,,,,2017,31,4.806451612903226,5,False,,,,Jakub Galvas,galvaja01,Czech
1835,151,Washington Capitals,Sebastian Walfridsson\walfrse01,SE,D,18.0,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,4.838709677419355,5,False,,,,Sebastian Walfridsson,walfrse01,Sweden-Jr.
1836,152,Pittsburgh Penguins,Jan Drozg\drozgja01,SI,LW,18.0,,Leksand U18 (Sweden-Jr.),,,,,,,,,,,,,2017,31,4.870967741935484,5,False,,,,Jan Drozg,drozgja01,Sweden-Jr.
1837,153,Anaheim Ducks,Olle Eriksson Ek\eriksol01,SE,G,18.0,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,4.903225806451613,5,False,,,,Olle Eriksson Ek,eriksol01,Sweden-Jr.
1838,154,Nashville Predators,Tomas Vomacka\vomacto01,CZ,G,18.0,,Corpus Christi (NAHL),,,,,,,,,,,,,2017,31,4.935483870967742,5,False,,,,Tomas Vomacka,vomacto01,NAHL
1839,155,Pittsburgh Penguins,Linus Olund\olundli01,SE,C,20.0,,Brynas (Sweden),,,,,,,,,,,,,2017,31,4.967741935483871,5,False,,,,Linus Olund,olundli01,Sweden
1840,156,Colorado Avalanche,Denis Smirnov\smirnde01,RU,RW,20.0,,Penn State (Big Ten),,,,,,,,,,,,,2017,31,5.0,6,False,,,,Denis Smirnov,smirnde01,Big Ten
1841,157,New York Rangers,Dominik Lakatos\lakatdo01,CZ,C,20.0,,Liberec (Czech),,,,,,,,,,,,,2017,31,5.032258064516129,6,False,,,,Dominik Lakatos,lakatdo01,Czech
1842,158,Vegas Golden Knights,Nick Campoli\camponi01,CA,C,18.0,,North York (OJHL),,,,,,,,,,,,,2017,31,5.064516129032258,6,False,,,,Nick Campoli,camponi01,OJHL
1843,159,San Jose Sharks,Jacob McGrew\mcgreja01,US,RW,18.0,,Spokane (WHL),,,,,,,,,,,,,2017,31,5.096774193548387,6,False,,,,Jacob McGrew,mcgreja01,WHL
1844,160,New Jersey Devils,Aarne Talvitie\talviaa01,FI,C,18.0,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,5.129032258064516,6,False,,,,Aarne Talvitie,talviaa01,Finland-Jr.
1845,161,Vegas Golden Knights,Jiri Patera\paterji01,CZ,G,18.0,,Budejovice Jr. (Czech-Jr.),,,,,,,,,,,,,2017,31,5.161290322580645,6,False,,,,Jiri Patera,paterji01,Czech-Jr.
1846,162,Detroit Red Wings,Johan Adams\adamsjo04,US,RW,20.0,,Fargo (USHL),,,,,,,,,,,,,2017,31,5.193548387096774,6,False,,,,Johan Adams,adamsjo04,USHL
1847,163,Dallas Stars,Brett Davis\davisbr01,CA,RW,18.0,,Kootenay (WHL),,,,,,,,,,,,,2017,31,5.225806451612903,6,False,,,,Brett Davis,davisbr01,WHL
1848,164,Detroit Red Wings,Reilly Webb\webbre01,CA,D,18.0,,Hamilton (OHL),,,,,,,,,,,,,2017,31,5.258064516129032,6,False,,,,Reilly Webb,webbre01,OHL
1849,165,New York Islanders,Arnaud Durandeau\duranar01,CA,LW,18.0,,Halifax (QMJHL),,,,,,,,,,,,,2017,31,5.290322580645161,6,False,,,,Arnaud Durandeau,duranar01,QMJHL
1850,166,Carolina Hurricanes,Brendan De Jong\dejonbr01,CA,D,19.0,,Portland (WHL),,,,,,,,,,,,,2017,31,5.32258064516129,6,False,,,,Brendan De Jong,dejonbr01,WHL
1851,167,Winnipeg Jets,Arvid Holm\holmar01,SE,G,18.0,,Karlskrona Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,5.354838709677419,6,False,,,,Arvid Holm,holmar01,Sweden-Jr.
1852,168,Philadelphia Flyers,Olle Lycksell\lycksol01,SE,RW,18.0,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,5.387096774193548,6,False,,,,Olle Lycksell,lycksol01,Sweden-Jr.
1853,169,Tampa Bay Lightning,Nicklaus Perbix\perbini01,US,D,19.0,,Elk River (High-MN),,,,,,,,,,,,,2017,31,5.419354838709677,6,False,,,,Nicklaus Perbix,perbini01,High-MN
1854,170,Columbus Blue Jackets,Jonathan Davidsson\davidjo03,SE,RW,20.0,,Djurgarden (Sweden),,,,,,,,,,,,,2017,31,5.451612903225806,6,False,,,,Jonathan Davidsson,davidjo03,Sweden
1855,171,Calgary Flames,D'Artagnan Joly\jolyda01,CA,RW,18.0,,Baie-Comeau (QMJHL),,,,,,,,,,,,,2017,31,5.483870967741935,6,False,,,,D'Artagnan Joly,jolyda01,QMJHL
1856,172,Toronto Maple Leafs,Ryan Mcgregor\mcgrery01,CA,C,18.0,,Sarnia (OHL),,,,,,,,,,,,,2017,31,5.516129032258065,6,False,,,,Ryan Mcgregor,mcgrery01,OHL
1857,173,Boston Bruins,Cedric Pare\parece01,CA,C,18.0,,Saint John (QMJHL),,,,,,,,,,,,,2017,31,5.548387096774194,6,False,,,,Cedric Pare,parece01,QMJHL
1858,174,New York Rangers,Morgan Barron\barromo01,CA,C,18.0,,St. Andrews College (HIGH-ON),,,,,,,,,,,,,2017,31,5.580645161290323,6,False,,,,Morgan Barron,barromo01,HIGH-ON
1859,175,St. Louis Blues,Trenton Bourque\bourqtr01,CA,D,19.0,,Owen Sound (OHL),,,,,,,,,,,,,2017,31,5.612903225806452,6,False,,,,Trenton Bourque,bourqtr01,OHL
1860,176,Nashville Predators,Pavel Koltygin\koltypa01,RU,C,18.0,,Drummondville (QMJHL),,,,,,,,,,,,,2017,31,5.645161290322581,6,False,,,,Pavel Koltygin,koltypa01,QMJHL
1861,177,Edmonton Oilers,Skyler Brind'Amour\brindsk01,US,C,18.0,,Selects Academy U18 (USMAAA),,,,,,,,,,,,,2017,31,5.67741935483871,6,False,,,,Skyler Brind'Amour,brindsk01,USMAAA
1862,178,Minnesota Wild,Andrei Svetlakov\svetlan01,RU,C,21.0,,CSKA (Russia),,,,,,,,,,,,,2017,31,5.709677419354839,6,False,,,,Andrei Svetlakov,svetlan01,Russia
1863,179,Columbus Blue Jackets,Carson Meyer\meyerca01,US,RW,20.0,,Miami (NCHC),,,,,,,,,,,,,2017,31,5.741935483870968,6,False,,,,Carson Meyer,meyerca01,NCHC
1864,180,Tampa Bay Lightning,Cole Guttman\guttmco01,US,C,18.0,,Dubuque (USHL),,,,,,,,,,,,,2017,31,5.774193548387097,6,False,,,,Cole Guttman,guttmco01,USHL
1865,181,Vancouver Canucks,Petrus Palmu\palmupe01,FI,RW,20.0,,Owen Sound (OHL),,,,,,,,,,,,,2017,31,5.806451612903226,6,False,,,,Petrus Palmu,palmupe01,OHL
1866,182,Washington Capitals,Benton Maass\maassbe01,US,D,18.0,,Elk River (High-MN),,,,,,,,,,,,,2017,31,5.838709677419355,6,False,,,,Benton Maass,maassbe01,High-MN
1867,183,Ottawa Senators,Jordan Hollett\hollejo01,CA,G,18.0,,Regina (WHL),,,,,,,,,,,,,2017,31,5.870967741935484,6,False,,,,Jordan Hollett,hollejo01,WHL
1868,184,Florida Panthers,Sebastian Repo\repose02,FI,RW,21.0,,Tappara (Finland),,,,,,,,,,,,,2017,31,5.903225806451613,6,False,,,,Sebastian Repo,repose02,Finland
1869,185,San Jose Sharks,Alexander Chmelevski\chmelal01,US,C,18.0,,Ottawa (OHL),,,,,,,,,,,,,2017,31,5.935483870967742,6,False,,,,Alexander Chmelevski,chmelal01,OHL
1870,186,Pittsburgh Penguins,Antti Palojarvi\palojan01,FI,D,18.0,,Lukko Jr. (Finland-Jr.),,,,,,,,,,,,,2017,31,5.967741935483871,6,False,,,,Antti Palojarvi,palojan01,Finland-Jr.
1871,187,Colorado Avalanche,Nick Leivermann\leiveni01,US,D,19.0,,Eden Prairie (High-MN),,,,,,,,,,,,,2017,31,6.0,7,False,,,,Nick Leivermann,leiveni01,High-MN
1872,188,Vancouver Canucks,Matt Brassard\brassma01,CA,D,19.0,,Oshawa (OHL),,,,,,,,,,,,,2017,31,6.032258064516129,7,False,,,,Matt Brassard,brassma01,OHL
1873,189,Vegas Golden Knights,Ben Jones\jonesbe01,CA,C,18.0,,Niagara (OHL),,,,,,,,,,,,,2017,31,6.064516129032258,7,False,,,,Ben Jones,jonesbe01,OHL
1874,190,Arizona Coyotes,Erik Walli Walterholm\wallier01,SE,RW,18.0,,Djurgarden U18 (Sweden-Jr.),,,,,,,,,,,,,2017,31,6.096774193548387,7,False,,,,Erik Walli Walterholm,wallier01,Sweden-Jr.
1875,191,New Jersey Devils,Jocktan Chainey\chainjo01,CA,D,18.0,,Halifax (QMJHL),,,,,,,,,,,,,2017,31,6.129032258064516,7,False,,,,Jocktan Chainey,chainjo01,QMJHL
1876,192,Buffalo Sabres,Linus Weissbach\weissli01,SE,LW,19.0,,Tri-City (USHL),,,,,,,,,,,,,2017,31,6.161290322580645,7,False,,,,Linus Weissbach,weissli01,USHL
1877,193,Detroit Red Wings,Brady Gilmour\gilmobr01,CA,C,18.0,,Saginaw (OHL),,,,,,,,,,,,,2017,31,6.193548387096774,7,False,,,,Brady Gilmour,gilmobr01,OHL
1878,194,Dallas Stars,Dylan Ferguson\fergudy01,CA,G,18.0,2018.0,Kamloops (WHL),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,6.5,2017,31,6.225806451612903,7,False,0.0,0.0,0.0,Dylan Ferguson,fergudy01,WHL
1879,195,Boston Bruins,Victor Berglund\berglvi01,SE,D,18.0,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,6.258064516129032,7,False,,,,Victor Berglund,berglvi01,Sweden-Jr.
1880,196,Philadelphia Flyers,Wyatt Kalynuk\kalynwy01,CA,D,20.0,,Bloomington (USHL),,,,,,,,,,,,,2017,31,6.290322580645161,7,False,,,,Wyatt Kalynuk,kalynwy01,USHL
1881,197,Carolina Hurricanes,Ville Rasanen\rasanvi01,FI,D,18.0,,Jokipojat (Finland-2),,,,,,,,,,,,,2017,31,6.32258064516129,7,False,,,,Ville Rasanen,rasanvi01,Finland-2
1882,198,Winnipeg Jets,Skyler Mckenzie\mckensk01,CA,LW,19.0,,Portland (WHL),,,,,,,,,,,,,2017,31,6.354838709677419,7,False,,,,Skyler Mckenzie,mckensk01,WHL
1883,199,Montreal Canadiens,Cayden Primeau\primeca01,US,G,18.0,,Lincoln (USHL),,,,,,,,,,,,,2017,31,6.387096774193548,7,False,,,,Cayden Primeau,primeca01,USHL
1884,200,Tampa Bay Lightning,Samuel Walker\walkesa01,US,C,18.0,,Edina (High-MN),,,,,,,,,,,,,2017,31,6.419354838709677,7,False,,,,Samuel Walker,walkesa01,High-MN
1885,201,New York Islanders,Logan Cockerill\cockelo01,US,LW,18.0,,USA U-18 (USNTDP),,,,,,,,,,,,,2017,31,6.451612903225806,7,False,,,,Logan Cockerill,cockelo01,USNTDP
1886,202,Calgary Flames,Filip Sveningsson\svenifi01,SE,LW,18.0,,HV 71 Jr. (Sweden-Jr.),,,,,,,,,,,,,2017,31,6.483870967741935,7,False,,,,Filip Sveningsson,svenifi01,Sweden-Jr.
1887,203,Toronto Maple Leafs,Ryan O'Connell\oconnry01,CA,D,18.0,,St. Andrews College (HIGH-ON),,,,,,,,,,,,,2017,31,6.516129032258065,7,False,,,,Ryan O'Connell,oconnry01,HIGH-ON
